DDI-MedLine.d106.s9|DDI-MedLine.d106.s9.e1|DDI-MedLine.d106.s9.e2|effect
DDI-MedLine.d105.s9|DDI-MedLine.d105.s9.e0|DDI-MedLine.d105.s9.e1|effect
DDI-MedLine.d105.s9|DDI-MedLine.d105.s9.e0|DDI-MedLine.d105.s9.e2|effect
DDI-MedLine.d199.s4|DDI-MedLine.d199.s4.e1|DDI-MedLine.d199.s4.e2|effect
DDI-MedLine.d227.s9|DDI-MedLine.d227.s9.e1|DDI-MedLine.d227.s9.e2|effect
DDI-MedLine.d227.s9|DDI-MedLine.d227.s9.e1|DDI-MedLine.d227.s9.e3|effect
DDI-MedLine.d93.s9|DDI-MedLine.d93.s9.e0|DDI-MedLine.d93.s9.e1|effect
DDI-MedLine.d89.s2|DDI-MedLine.d89.s2.e0|DDI-MedLine.d89.s2.e1|effect
DDI-DrugBank.d536.s8|DDI-DrugBank.d536.s8.e0|DDI-DrugBank.d536.s8.e1|effect
DDI-DrugBank.d536.s8|DDI-DrugBank.d536.s8.e0|DDI-DrugBank.d536.s8.e2|effect
DDI-DrugBank.d536.s8|DDI-DrugBank.d536.s8.e0|DDI-DrugBank.d536.s8.e3|effect
DDI-DrugBank.d536.s8|DDI-DrugBank.d536.s8.e0|DDI-DrugBank.d536.s8.e4|effect
DDI-DrugBank.d368.s3|DDI-DrugBank.d368.s3.e1|DDI-DrugBank.d368.s3.e2|effect
DDI-DrugBank.d368.s6|DDI-DrugBank.d368.s6.e0|DDI-DrugBank.d368.s6.e1|effect
DDI-DrugBank.d368.s11|DDI-DrugBank.d368.s11.e0|DDI-DrugBank.d368.s11.e1|effect
DDI-DrugBank.d368.s14|DDI-DrugBank.d368.s14.e0|DDI-DrugBank.d368.s14.e1|effect
DDI-DrugBank.d117.s0|DDI-DrugBank.d117.s0.e0|DDI-DrugBank.d117.s0.e1|effect
DDI-DrugBank.d226.s5|DDI-DrugBank.d226.s5.e1|DDI-DrugBank.d226.s5.e2|effect
DDI-DrugBank.d226.s7|DDI-DrugBank.d226.s7.e0|DDI-DrugBank.d226.s7.e1|effect
DDI-DrugBank.d114.s10|DDI-DrugBank.d114.s10.e2|DDI-DrugBank.d114.s10.e3|effect
DDI-DrugBank.d114.s10|DDI-DrugBank.d114.s10.e2|DDI-DrugBank.d114.s10.e4|effect
DDI-DrugBank.d114.s10|DDI-DrugBank.d114.s10.e2|DDI-DrugBank.d114.s10.e5|effect
DDI-DrugBank.d114.s10|DDI-DrugBank.d114.s10.e2|DDI-DrugBank.d114.s10.e6|effect
DDI-DrugBank.d114.s10|DDI-DrugBank.d114.s10.e5|DDI-DrugBank.d114.s10.e6|effect
DDI-DrugBank.d413.s12|DDI-DrugBank.d413.s12.e2|DDI-DrugBank.d413.s12.e3|effect
DDI-DrugBank.d299.s11|DDI-DrugBank.d299.s11.e4|DDI-DrugBank.d299.s11.e5|effect
DDI-DrugBank.d99.s24|DDI-DrugBank.d99.s24.e2|DDI-DrugBank.d99.s24.e3|effect
DDI-DrugBank.d211.s2|DDI-DrugBank.d211.s2.e4|DDI-DrugBank.d211.s2.e5|effect
DDI-DrugBank.d75.s14|DDI-DrugBank.d75.s14.e4|DDI-DrugBank.d75.s14.e5|effect
DDI-DrugBank.d75.s15|DDI-DrugBank.d75.s15.e0|DDI-DrugBank.d75.s15.e1|effect
DDI-DrugBank.d64.s0|DDI-DrugBank.d64.s0.e0|DDI-DrugBank.d64.s0.e1|effect
DDI-DrugBank.d64.s3|DDI-DrugBank.d64.s3.e0|DDI-DrugBank.d64.s3.e1|effect
DDI-DrugBank.d64.s3|DDI-DrugBank.d64.s3.e0|DDI-DrugBank.d64.s3.e2|effect
DDI-DrugBank.d64.s4|DDI-DrugBank.d64.s4.e0|DDI-DrugBank.d64.s4.e1|effect
DDI-DrugBank.d64.s88|DDI-DrugBank.d64.s88.e0|DDI-DrugBank.d64.s88.e1|effect
DDI-DrugBank.d64.s88|DDI-DrugBank.d64.s88.e0|DDI-DrugBank.d64.s88.e2|effect
DDI-DrugBank.d64.s88|DDI-DrugBank.d64.s88.e0|DDI-DrugBank.d64.s88.e3|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e0|DDI-DrugBank.d64.s89.e1|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e0|DDI-DrugBank.d64.s89.e2|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e0|DDI-DrugBank.d64.s89.e3|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e0|DDI-DrugBank.d64.s89.e4|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e2|DDI-DrugBank.d64.s89.e3|effect
DDI-DrugBank.d64.s89|DDI-DrugBank.d64.s89.e2|DDI-DrugBank.d64.s89.e4|effect
DDI-DrugBank.d224.s8|DDI-DrugBank.d224.s8.e0|DDI-DrugBank.d224.s8.e1|effect
DDI-DrugBank.d224.s8|DDI-DrugBank.d224.s8.e0|DDI-DrugBank.d224.s8.e2|effect
DDI-DrugBank.d224.s8|DDI-DrugBank.d224.s8.e0|DDI-DrugBank.d224.s8.e3|effect
DDI-DrugBank.d284.s3|DDI-DrugBank.d284.s3.e4|DDI-DrugBank.d284.s3.e5|effect
DDI-DrugBank.d222.s0|DDI-DrugBank.d222.s0.e3|DDI-DrugBank.d222.s0.e4|effect
DDI-DrugBank.d448.s3|DDI-DrugBank.d448.s3.e3|DDI-DrugBank.d448.s3.e4|effect
